objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Akeley-1908-Map-Box4-Folder2,mg101_b6_f7_miscellanious_negatives_012.jpg,NA,Map of the Champlain Valley,PDF,"A hand drawn map of The Champlain, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1908,,Drawing,Champlain,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1908-Map-Box4-Folder2,Akeley-1908-Map-Box4-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1909-Vol4-Box4-Folder3,mg101_b6_f7_miscellanious_negatives_014.jpg,NA,"A Collection of Folklore and Culture of the Champlain Valley, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#4) (317 pages) The work focuses on the cultural development and storytelling of the Champlain region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,4/22/1909,,Bound Volume,Champlain,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1909-Vol4-Box4-Folder3,Akeley-1909-Vol4-Box4-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1910-Manuscript-Box5-Folder1,mg101_b6_f7_miscellanious_negatives_010.jpg,NA,"The Green Mountain Region, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around The Green Mountain Region, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1910,,Manuscript,Green Mountian,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1910-Manuscript-Box5-Folder1,Akeley-1910-Manuscript-Box5-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1910-Map-Box5-Folder2,mg101_b7_f13_034.pdf,NA,Map of the Green Mountian Region,PDF,"A hand drawn map of The Green Mountain Region, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1910,,Drawing,Green Mountian,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1910-Map-Box5-Folder2,Akeley-1910-Map-Box5-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1909-Vol5-Box5-Folder3,mg101_b7_f23_005.pdf,NA,"A Collection of Folklore and Culture of the Green Mountain Region, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#5) (302 pages) The work focuses on the cultural development and storytelling of the Green Mountian region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,9/1/1911,,Bound Volume,Green Mountian,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1909-Vol5-Box5-Folder3,Akeley-1909-Vol5-Box5-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1912-Manuscript-Box6-Folder1,mg101_b7_f23_023.pdf,NA,"The Northeast Kingdom, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around The Northeast Kingdom, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1912,,Manuscript,Northeash Kingdom,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1912-Manuscript-Box6-Folder1,Akeley-1912-Manuscript-Box6-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1912-Map-Box6-Folder2,mg101_b7_f23_039.pdf,NA,Map of the Northeast Kingdom,PDF,"A hand drawn map of The Northeast Kingdom, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1912,,Drawing,Northeash Kingdom,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1912-Map-Box6-Folder2,Akeley-1912-Map-Box6-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1913-Vol6-Box6-Folder3,mg101_b6_psychiana_photographs_002.jpg,NA,"A Collection of Folklore and Culture of the Northeast Kingdom, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#6) (276 pages) The work focuses on the cultural development and storytelling of the Northeast Kingdom region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,8/11/1913,,Bound Volume,Northeash Kingdom,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1913-Vol6-Box6-Folder3,Akeley-1913-Vol6-Box6-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1914-Manuscript-Box7-Folder1,mg101_b6_psychiana_photographs_011.jpg,NA,"Bennington County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Bennington County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1914,,Manuscript,Bennington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1914-Manuscript-Box7-Folder1,Akeley-1914-Manuscript-Box7-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1914-Map-Box7-Folder2,mg101_b6_psychiana_photographs_001.jpg,NA,Map of Bennington County,PDF,"A hand drawn map of Bennington County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1914,,Drawing,Bennington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1914-Map-Box7-Folder2,Akeley-1914-Map-Box7-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1915-Vol7-Box7-Folder3,mg101_b6_psychiana_photographs_039.jpg,NA,"A Collection of Folklore and Culture of Bennington County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#7) (332 pages) The work focuses on the cultural development and storytelling of the Bennington County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,4/5/1915,,Bound Volume,Bennington County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1915-Vol7-Box7-Folder3,Akeley-1915-Vol7-Box7-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1916-Manuscript-Box8-Folder1,mg101_b6_robinson_friends_008.jpg,NA,"Chittenden County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Chittenden County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1916,,Manuscript,Chittenden County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1916-Manuscript-Box8-Folder1,Akeley-1916-Manuscript-Box8-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1916-Map-Box8-Folder2,mg101_b6_photographs_06.jpg,NA,Map of Chittenden County,PDF,"A hand drawn map of Chittenden County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1916,,Drawing,Chittenden County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1916-Map-Box8-Folder2,Akeley-1916-Map-Box8-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1917-Vol8-Box8-Folder3,mg101_b6_photographs_07.jpg,NA,"A Collection of Folklore and Culture of Chittenden County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#8) (298 pages) The work focuses on the cultural development and storytelling of the Chittenden region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,3/16/1917,,Bound Volume,Chittenden County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1917-Vol8-Box8-Folder3,Akeley-1917-Vol8-Box8-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1918-Manuscript-Box9-Folder1,mg101_b6_photographs_02.jpg,NA,"Franklin County, collected notes",PDF,"A collection of notes and observations from Dr. Akeley’s travels around Franklin County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations. ",Dr. Henry Wentworth Akeley,Miskatonic University,1918,,Manuscript,Franklin County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1918-Manuscript-Box9-Folder1,Akeley-1918-Manuscript-Box9-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1918-Map-Box9-Folder2,mg101_b6_psychiana_photographs_037b.jpg,NA,Map of Franklin County,PDF,"A hand drawn map of Franklin County, detailing Dr. Akeley's travels and observations.",Dr. Henry Wentworth Akeley,Miskatonic University,1918,,Drawing,Franklin County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1918-Map-Box9-Folder2,Akeley-1918-Map-Box9-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1919-Vol9-Box9-Folder3,mg101_b6_photographs_01.jpg,NA,"A Collection of Folklore and Culture of Franklin County, Vermont By Doctor Henry Wentworth Akeley",PDF,1 bound Volume (#9) (318 pages) The work focuses on the cultural development and storytelling of the Franklin County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Dr. Henry Wentworth Akeley,Miskatonic University,6/25/1919,,Bound Volume,Franklin County,Vermont,44,72.699997,NA,Miskatonic University Press,Miskatonic University Archives,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1919-Vol9-Box9-Folder3,Akeley-1919-Vol9-Box9-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
